"SZ" "BT" "TLC" "TUC" "TNZ"
"Tachyglossus_aculeatus" 3000 30.7 20 30 10
"Ornithorhynchus_anatinus" 1601 34 24 NA NA
"Thylamys_elegans" 40.2 34.8 27.5 35 7.5
"Caluromys_philander" 170 34.8 26 NA NA
"Caluromys_derbianus" 331 35 27 35 8
"Philander_opossum" 751 35.8 29 NA NA
"Metachirus_nudicaudatus" 336 35 29 36 7
"Didelphis_marsupialis" 1300 35 26 NA NA
"Didelphis_virginiana" 1500 35 22 36 14
"Lutreolina_crassicaudata" 812 35.8 27 35 8
"Chironectes_minimus" 946 35 24 NA NA
"Marmosa_robinsoni" 122 34 26 36 10
"Marmosa_microtarsus" 13 35.5 27 NA NA
"Monodelphis_brevicaudata" 40 33.7 29 36 7
"Sminthopsis_macroura" 24.8 34.3 31.3 34 2.7
"Sminthopsis_crassicaudata" 17 35.2 28.6 NA NA
"Dasyuroides_byrnei" 120 35.2 27.9 NA NA
"Planigale_gilesi" 8.3 35.1 29.3 NA NA
"Planigale_tenuirostris" 7 34.5 33 NA NA
"Ningaui_yvonnae" 11.6 34.4 32 NA NA
"Myrmecobius_fasciatus" 552 32.5 28 NA NA
"Macrotis_lagotis" 1520 35 27 35 8
"Isoodon_macrourus" 1551 35.9 30 NA NA
"Perameles_nasuta" 645 36.1 30 NA NA
"Echymipera_rufescens" 946 34.6 30 NA NA
"Echymipera_kalabu" 695 35 30 NA NA
"Cercartetus_nanus" 36 34.3 28.7 32.9 4.2
"Cercartetus_concinnus" 18.6 34.4 28 30 2
"Cercartetus_lepidus" 12.6 33.7 28 30 2
"Burramys_parvus" 44.3 36.1 27.7 30 2.3
"Acrobates_pygmaeus" 14 34.7 34 35.1 1.1
"Tarsipes_rostratus" 10 36.6 28 34 6
"Petaurus_breviceps" 130 35.9 27 31 4
"Pseudocheirus_peregrinus" 968 37.4 25 32.5 7.5
"Pseudocheirus_occidentalis" 861 36.5 25 32.5 7.5
"Petauroides_volans" 1141 35.4 18 25 7
"Spilocuscus_maculatus" 4250 34.7 20.8 35.4 14.6
"Aepyprymnus_rufescens" 2820 36.5 25 33 8
"Bettongia_gaimardi" 1700 35.6 10 20 10
"Setonix_brachyurus" 2670 36.3 20 32.5 12.5
"Lagorchestes_conspicillatus" 2660 36 25 NA NA
"Macropus_giganteus" 26400 36.3 15 NA NA
"Macropus_rufus" 23500 36.3 15 NA NA
"Phascolarctos_cinereus" 7600 35.8 15 NA NA
"Dromiciops_gliroides" 40.2 35.5 29 NA NA
"Macroglossus_minimus" 16.3 36.2 30.9 33 2.1
"Syconycteris_australis" 17.8 35.9 29.5 33 3.5
"Melonycteris_melanops" 53.3 34.9 28 NA NA
"Paranyctimene_raptor" 23.6 33.8 27 NA NA
"Nyctimene_albiventer" 30.9 35.9 28 NA NA
"Nyctimene_cyclotis" 40.4 36 24 NA NA
"Rousettus_amplexicaudatus" 91.5 36.5 26 NA NA
"Dobsonia_minor" 73.7 36.5 27 35 8
"Dobsonia_praedatrix" 179.5 37.1 25 33 8
"Dobsonia_anderseni" 241 36.4 28 NA NA
"Dobsonia_moluccensis" 464 36.8 24 NA NA
"Nyctophilus_geoffroyi" 7 31.6 29.1 33.2 4.1
"Nyctophilus_gouldi" 10 35.8 30.7 32.5 1.8
"Eptesicus_vulturnus" 4 33.3 27.6 33.3 5.7
"Chalinolobus_gouldii" 17.5 35 34 NA NA
"Eptesicus_fuscus" 15 36 26.7 NA NA
"Miniopterus_schreibersii" 10.9 37.7 32.5 37.5 5
"Lasiurus_cinereus" 27.5 34.8 30 34 4
"Lasiurus_seminolus" 9.8 35.1 32 NA NA
"Lasiurus_borealis" 12.2 35.7 32 NA NA
"Lasiurus_intermedius" 22.6 35.8 34 NA NA
"Nycticeius_humeralis" 9 33.6 32 NA NA
"Anoura_latidens" 13.5 35.8 34.7 36.2 1.5
"Anoura_caudifera" 12 36.5 27 35 8
"Leptonycteris_curasoae" 24 35.7 30.5 37 6.5
"Glossophaga_longirostris" 13.5 37.5 31.5 36 4.5
"Glossophaga_soricina" 6.8 36.5 31.4 35.2 3.8
"Choeroniscus_godmani" 10.1 36.6 32 NA NA
"Sturnira_erythromos" 15.9 34.4 25.5 32.6 7.1
"Sturnira_lilium" 22 36.4 28.1 37.1 9
"Rhinophylla_pumilio" 10 34.7 30 35 5
"Choeroniscus_perspicillata" 15 36.4 28.2 37.7 9.5
"Uroderma_bilobatum" 16 35.1 28 35.6 7.6
"Platyrrhinus_lineatus" 22 36.4 28 NA NA
"Artibeus_concolor" 20 35.3 28 NA NA
"Artibeus_jamaicensis" 45 36.4 25 35.8 10.8
"Artibeus_literatus" 70 37.7 25 37.7 12.7
"Mormoops_megalophylla" 16.5 36.9 33.5 39.5 6
"Pteronotus_personatus" 14 37.5 34 38.5 4.5
"Pteronotus_parnelli" 19.2 36.4 34 40.5 6.5
"Pteronotus_davyi" 9.4 38.8 34.5 43 8.5
"Tadarida_brasiliensis" 11 36 26.3 32.7 6.4
"Mops_condylurus" 23.2 35.8 30 NA NA
"Natalus_tumidirostris" 5.4 32.3 28 35.5 7.5
"Macroderma_gigas" 107.2 37 30 35 5
"Rhinonicteris_aurantius" 8.3 36.1 32.5 37.5 5
"Peropteryx_macrotis" 5.1 34.4 30.5 37 6.5
"Saccopteryx_bilineata" 8.2 35.5 30 NA NA
"Chaetodipus_hispidus" 40.1 36.8 30.5 33.5 3
"Calomys_musculinus" 16.9 36.3 27 NA NA
"Microtus_agrestis" 26.3 37.6 25 NA NA
"Microtus_montanus" 27.2 35.3 28.8 NA NA
"Microtus_ochrogaster" 47.4 37.9 25 30 5
"Microtus_guentheri" 51.3 38.3 30 34 4
"Peromyscus_californicus" 22 36.4 32.5 NA NA
"Peromyscus_crinitus" 16 35.7 29 NA NA
"Peromyscus_maniculatus" 18.2 36.6 25.5 NA NA
"Peromyscus_truei" 33 36.4 27 NA NA
"Peromyscus_eremicus" 22 36.6 30 NA NA
"Neotoma_lepida" 110 36.8 26 NA NA
"Neotoma_fuscipes" 187 36.6 23 NA NA
"Clethrionomys_rufocanus" 23.1 36.7 22.5 27.5 5
"Clethrionomys_rutilus" 21.5 36.7 22 NA NA
"Reithrodontomys_megalotis" 10.6 36.8 31 NA NA
"Baiomys_taylori" 7.3 36 30 NA NA
"Cricetulus_triton" 149 36.7 29 34 5
"Cricetulus_barabensis" 31.4 37.9 27 30 3
"Mus_macedonicus" 14.5 37.3 28 33 5
"Otomys_sloggetti" 113.3 36.7 25.3 NA NA
"Otomys_irroratus" 111.6 37.6 25 NA NA
"Otomys_unisulcatus" 102.5 36.7 25 NA NA
"Rattus_norvegicus" 275 37 24 NA NA
"Meriones_unguiculatus" 62.5 38.3 25 NA NA
"Gerbillurus_setzeri" 32.9 37.6 28.4 NA NA
"Gerbillurus_vallinus" 34.7 37.4 33.1 NA NA
"Apodemus_speciosus" 28.5 36.9 25 30 5
"Apodemus_agrarius" 24.4 37.5 25 27.5 2.5
"Apodemus_mystacinus" 37.1 38.6 28 32 4
